role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Elementwise and metadata,_gather_block_tables_kernel,1x4x1,128x1x1,1.0,3.8619375,3.552,4.10375,3.8619375,3.808,4.512,4.768,0
Elementwise and metadata,at::native::elementwise_kernel,1210x1x1,128x1x1,1.0,3.7398125,3.68775,3.7600000000000002,3.7398125,3.744,3.808,3.808,57
Elementwise and metadata,_compute_slot_mappings_kernel,1x5x1,128x1x1,1.0,3.726,3.64,3.8,3.726,3.776,3.776,3.872,0
MTP FP8 block,tensorrt_llm::kernels::cutlass_kernels::fusedBuildExpertMapsSortFirstTokenKernel,1x1x1,32x1x1,1.0,3.6340000000000003,3.52,3.736,3.634,3.68,4.0,4.128,0
Elementwise and metadata,at::native::unrolled_elementwise_kernel,1x1x1,128x1x1,3.0,3.419875,3.35175,3.488,1.1399583333333334,1.12,1.472,1.6,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_moe_forward_shared_0,4x1x1,512x1x1,0.75,3.3938750000000004,0.0,4.66375,4.525166666666667,4.48,4.736,4.864,1
Elementwise and metadata,at::native::vectorized_gather_kernel,4x3x1,256x1x1,2.0,3.3280000000000003,3.2880000000000003,3.376,1.664,1.664,1.856,1.92,1
Elementwise and metadata,_post_update_kernel,4x1x1,32x1x1,1.0,3.3039375,3.144,3.496,3.3039375,3.328,3.552,3.616,0
Elementwise and metadata,_insert_resampled_kernel,4x1x1,128x1x1,1.0,3.107875,2.96775,3.2399999999999998,3.107875,3.072,3.264,3.392,0
Elementwise and metadata,triton_red_fused_6,2x1x1,256x1x1,0.75,3.078,0.0,12.312,4.104,4.384,4.736,4.864,0
Elementwise and metadata,at::native::unrolled_elementwise_kernel,48x1x1,128x1x1,1.0,2.984,2.904,3.144,2.984,2.976,3.168,3.168,2
MTP FP8 block,tensorrt_llm::kernels::cutlass_kernels::expandInputRowsKernel,64x1x1,256x1x1,1.0,2.864,2.752,2.984,2.864,2.848,3.168,3.36,6
Elementwise and metadata,triton_poi_fused_machete_mm_mul_silu_slice_1,192x1x1,128x1x1,1.75,2.6919999999999997,0.0,4.664,1.5382857142857143,1.504,1.664,1.696,9
MTP FP8 block,tensorrt_llm::kernels::cutlass_kernels::doActivationKernel,64x1x1,256x1x1,1.0,2.6799999999999997,2.552,2.888,2.68,2.656,2.88,3.36,6
Elementwise and metadata,triton_red_fused_8,2x1x1,128x1x1,0.5,2.6299375,0.0,5.36,5.259875,5.28,5.472,5.472,0
Elementwise and metadata,_get_num_sampled_and_rejected_kernel,4x1x1,128x1x1,1.0,2.616,2.3920000000000003,2.72,2.616,2.656,2.816,2.88,0
DSA full-context scan,deep_gemm::sched::smxx_paged_mqa_logits_metadata,1x1x1,32x1x1,1.0,2.4939999999999998,2.448,2.528,2.4939999999999998,2.496,2.528,2.528,0
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_3,4x1x1,64x1x1,1.75,2.474,0.0,4.272,1.4137142857142857,1.376,1.536,1.6,0
Elementwise and metadata,at::native::elementwise_kernel,48x1x1,128x1x1,1.0,2.465875,2.432,2.504,2.465875,2.464,2.528,2.656,2
Elementwise and metadata,triton_red_fused_5,16x1x1,256x1x1,1.5,2.4379375000000003,0.0,4.944,1.6252916666666666,1.632,1.664,1.728,2
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_machete_mm_0,8x1x1,1024x1x1,0.75,2.425875,0.0,9.7035,3.2345,3.232,3.36,3.424,3
Elementwise and metadata,triton_red_fused_rms_norm_1,8x1x1,512x1x1,1.0,2.3299374999999998,2.26375,2.408,2.3299374999999998,2.304,2.464,2.528,2
Elementwise and metadata,at::native::elementwise_kernel,1x1x1,128x1x1,2.0,2.2539375,2.15175,2.336,1.12696875,1.088,1.344,1.376,0
Elementwise and metadata,at::native::vectorized_elementwise_kernel,24x1x1,128x1x1,2.0,2.246,2.184,2.3040000000000003,1.123,1.088,1.216,1.28,1
Elementwise and metadata,triton_red_fused_1,8x1x1,512x1x1,1.0,2.2339375,1.952,2.448,2.2339375,2.271,2.496,2.528,2
Elementwise and metadata,triton_red_fused_add_fused_add_rms_norm_rms_norm_2,8x1x1,512x1x1,0.75,2.1959375,0.0,3.008,2.9279166666666665,2.944,3.072,3.104,2
Elementwise and metadata,_combine_sampled_and_draft_tokens_kernel,4x1x1,128x1x1,1.0,2.194,2.064,2.328,2.194,2.272,2.336,2.368,0
Elementwise and metadata,memcpy32_post,1x1x1,256x1x1,2.0,2.1900000000000004,2.112,2.248,1.095,1.216,1.344,1.344,0
Elementwise and metadata,triton_poi_fused_4,8x1x1,128x1x1,1.5,2.1899999999999995,0.0,4.4799999999999995,1.46,1.44,1.536,1.664,0
Elementwise and metadata,triton_red_fused_eq_rms_norm_scalar_tensor_unsqueeze_where_2,8x1x1,512x1x1,0.75,1.8399999999999999,0.0,2.472,2.453333333333333,2.464,2.528,2.56,2
Elementwise and metadata,at::native::elementwise_kernel,96x1x1,128x1x1,1.0,1.6939375,1.61575,1.784,1.6939375,1.696,1.76,1.856,5
Elementwise and metadata,at::native::vectorized_gather_kernel,8x3x1,256x1x1,1.0,1.682,1.568,1.824,1.682,1.664,2.112,2.208,2
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_moe_forward_shared_0,2x1x1,256x1x1,0.25,1.6339375,0.0,6.53575,6.53575,6.56,6.591,6.591,0
Elementwise and metadata,triton_red_fused_add_fused_add_rms_norm_rms_norm_2,2x1x1,256x1x1,0.25,1.622,0.0,6.488,6.488,6.272,7.392,7.392,0
Elementwise and metadata,cublasLt::splitKreduce_kernel,5x1x1,32x16x1,1.0,1.5879375,0.0,3.19175,1.5879375,1.6,1.632,1.664,1
Elementwise and metadata,_prepare_prefill_inputs_kernel,4x1x1,128x1x1,1.0,1.5279375,1.48,1.60775,1.5279375,1.504,1.6,1.728,0
Elementwise and metadata,_prepare_pos_seq_lens_kernel,5x1x1,128x1x1,1.0,1.302,1.184,1.384,1.302,1.312,1.472,1.536,0
Elementwise and metadata,triton_per_fused_mm_t_5,10x1x1,256x1x1,0.5,1.218,0.0,2.448,2.436,2.432,2.496,2.496,1
Elementwise and metadata,triton_per_fused_mm_t_2,10x1x1,256x1x1,0.5,1.198,0.0,2.448,2.396,2.368,2.592,2.592,1
Elementwise and metadata,triton_per_fused_mm_t_4,10x1x1,256x1x1,0.5,1.194,0.0,2.432,2.388,2.432,2.464,2.464,1
Elementwise and metadata,triton_poi_fused_machete_mm_mul_silu_slice_1,96x1x1,64x1x1,0.75,1.1219999999999999,0.0,4.4879999999999995,1.496,1.504,1.568,1.568,2
Elementwise and metadata,memcpy32_post,48x1x1,256x1x1,1.0,1.052,0.984,1.104,1.052,1.056,1.12,1.12,5
Elementwise and metadata,_expand_idx_mapping_kernel,4x1x1,128x1x1,1.0,1.044,1.016,1.072,1.044,1.024,1.152,1.184,0
Elementwise and metadata,_dcp_local_seq_lens_kernel,1x1x1,128x1x1,1.0,1.024,0.9520000000000001,1.088,1.024,1.056,1.12,1.184,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_7,256x1x1,128x1x1,0.75,1.0139999999999998,0.0,2.6799999999999997,1.3519999999999999,1.376,1.376,1.408,12
Elementwise and metadata,cublasLt::splitKreduce_kernel,192x1x1,32x16x1,0.5,0.972,0.0,1.992,1.944,1.984,2.208,2.208,36
Elementwise and metadata,triton_red_fused_5,16x1x1,512x1x1,0.5,0.884,0.0,1.936,1.768,1.92,1.952,1.952,3
Elementwise and metadata,triton_red_fused_7,16x1x1,512x1x1,0.5,0.868,0.0,1.76,1.736,1.728,1.824,1.824,3
MLA/DSA BF16 GEMMs,nvjet_sm90_tss_64x8_64x16_4x1_v_bz_TNT,4x16x1,384x1x1,0.25,0.842,0.0,3.368,3.368,3.392,3.616,3.616,0
Elementwise and metadata,triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_embedding_ge_lt_masked_fill_mul_sub_unsqueeze_0,192x1x1,128x1x1,0.5,0.8359375,0.0,1.768,1.671875,1.728,1.792,1.792,9
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_moe_forward_shared_0,8x1x1,256x1x1,0.25,0.79,0.0,3.16,3.16,3.104,3.328,3.328,1
Elementwise and metadata,at::native::vectorized_elementwise_kernel,8x1x1,128x1x1,1.0,0.756,0.712,0.8160000000000001,0.756,0.736,0.768,0.96,0
Elementwise and metadata,triton_poi_fused_machete_mm_mul_silu_slice_1,48x1x1,128x1x1,0.5,0.752,0.0,3.008,1.504,1.504,1.504,1.504,2
Elementwise and metadata,triton_per_fused_mm_t_3,40x1x1,256x1x1,0.5,0.738,0.0,2.952,1.476,1.504,1.536,1.536,4
Elementwise and metadata,triton_poi_fused_4,16x1x1,128x1x1,0.5,0.722,0.0,1.496,1.444,1.44,1.568,1.568,1
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_5,2x1x1,64x1x1,0.5,0.7039375,0.0,1.408,1.407875,1.407,1.536,1.536,0
Elementwise and metadata,triton_red_fused_eq_rms_norm_scalar_tensor_unsqueeze_where_2,4x1x1,512x1x1,0.25,0.7,0.0,2.8,2.8,2.848,2.848,2.848,1
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_7,128x1x1,128x1x1,0.5,0.7,0.0,2.8,1.4,1.44,1.504,1.504,6
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_4,4x1x1,32x1x1,0.5,0.6959375,0.0,2.78375,1.391875,1.376,1.568,1.568,0
Elementwise and metadata,triton_red_fused_rms_norm_4,4x1x1,512x1x1,0.25,0.6159375,0.0,2.46375,2.46375,2.496,2.496,2.496,1
Elementwise and metadata,triton_red_fused_rms_norm_3,8x1x1,512x1x1,0.25,0.5919375,0.0,2.36775,2.36775,2.4,2.432,2.432,2
Elementwise and metadata,triton_red_fused_rms_norm_4,8x1x1,512x1x1,0.25,0.5899375,0.0,2.35975,2.35975,2.336,2.431,2.431,2
Elementwise and metadata,triton_poi_fused_0,24x1x1,128x1x1,0.25,0.5199375,0.0,2.07975,2.07975,2.144,2.144,2.144,1
Elementwise and metadata,triton_poi_fused_0,384x1x1,128x1x1,0.25,0.51,0.0,2.04,2.04,2.048,2.08,2.08,18
Elementwise and metadata,triton_red_fused_rms_norm_3,8x1x1,1024x1x1,0.25,0.498,0.0,1.992,1.992,2.016,2.016,2.016,3
Elementwise and metadata,triton_poi_fused_0,96x1x1,128x1x1,0.25,0.486,0.0,1.944,1.944,1.92,2.208,2.208,5
Elementwise and metadata,triton_poi_fused_6,4x1x1,64x1x1,0.25,0.466,0.0,1.864,1.864,1.856,1.92,1.92,0
