rank_layer_load_rank,layer,route_count,layer_route_share,load_vs_balanced,hottest_expert,hottest_expert_rank_share,effective_local_experts,local_gini,top_8_local_route_share,local_experts_for_50pct,local_experts_for_80pct
35,72,340078,0.2504285764780734,1.0017143059122935,98,0.054966801733719914,49.05110997706724,0.4049043528249401,0.32783361464134697,15,34
36,11,339774,0.25020471522492166,1.0008188608996866,205,0.03487318040815365,56.7642950653051,0.27681295140299134,0.23877047684637437,21,40
37,17,339621,0.25009204821264464,1.0003681928505785,155,0.08561013600454624,48.84805989776082,0.38916178806669777,0.33592151250953267,16,36
38,34,339090,0.24970102740533026,0.998804109621321,126,0.059541714589047154,47.2687374730788,0.4241794213925507,0.33060544398242353,15,33
39,12,338207,0.24905079883120862,0.9962031953248345,137,0.03752435638529066,58.939178670839894,0.22602859528336205,0.21772464792272186,23,43
40,71,336778,0.24799850366425524,0.991994014657021,143,0.0733984999020126,45.748030527991986,0.4449831380018885,0.3534435147188949,14,31
41,59,336770,0.247992612578646,0.991970450314584,227,0.09937345963120231,43.28727383736587,0.4653679625560472,0.3883362532292069,13,32
42,35,335133,0.24678714918585196,0.9871485967434078,12,0.059558443961054267,49.985819502137176,0.38726597910381844,0.3391250637806483,15,36
43,26,334510,0.24632838089403114,0.9853135235761246,12,0.0702280948252668,51.170849307080026,0.3558418470299842,0.31704881767361215,17,38
44,22,333978,0.24593662370101563,0.9837464948040625,20,0.0692530645731156,47.68433878058618,0.42024128460557275,0.348699614944697,14,34
45,70,331421,0.24405368546315714,0.9762147418526286,127,0.0839415728031718,44.73660762509398,0.4454598060322068,0.3845743027750203,13,33
46,7,329707,0.24279152037137403,0.9711660814854961,40,0.02768215415505282,61.2294030008735,0.16825246544659356,0.19686873496771376,25,46
47,66,329655,0.24275322831491386,0.9710129132596554,184,0.0807844564772262,45.78481107977141,0.4427362981753651,0.3601340795680332,14,32
48,54,328639,0.24200506044253836,0.9680202417701534,116,0.10264454310048411,43.75352733856768,0.46675231979466836,0.3590444226035254,14,31
49,53,328480,0.2418879751160544,0.9675519004642176,164,0.06048770092547492,47.86018248537696,0.41440793579517776,0.33429128105211886,16,34
50,25,327927,0.24148075382331455,0.9659230152932582,52,0.06736560271035932,54.41446409580323,0.3023236211870324,0.2639276424326146,20,39
51,50,326697,0.24057499941089144,0.9622999976435658,251,0.05211556886044255,44.59877698542117,0.4683052549457143,0.3307223512918699,14,29
52,9,325471,0.23967219054127295,0.9586887621650918,0,0.03402146427792338,59.25368953156699,0.21833872103812624,0.22510761327430096,23,44
53,10,324554,0.23899692485331198,0.9559876994132479,226,0.03848049939301318,59.24592110368388,0.21340670581782994,0.21727971308318492,23,43
