role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Elementwise and metadata,triton_red_fused_6,2x1x1,256x1x1,5.0,25.0515,0.0,100.206,5.0103,5.056,5.344,5.568,0
Explicit copies,Memcpy DtoD ,,,25.0,24.588625,24.3195,24.778000000000002,0.983545,0.832,1.12,3.648,
Elementwise and metadata,triton_red_fused_6,2x1x1,128x1x1,6.5,24.33804166666667,0.0,86.61116666666668,3.7443141025641027,3.744,4.032,4.288,0
Elementwise and metadata,triton_poi_fused_add_mul_1,384x1x1,32x1x1,18.75,24.016583333333333,0.0,96.06633333333333,1.2808844444444445,1.28,1.376,1.503,5
MTP FP8 block,tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel,132x1x1,256x1x1,6.0,23.908916666666666,22.373333333333335,24.858166666666666,3.9848194444444447,3.776,4.864,5.824,13
Elementwise and metadata,triton_poi_fused_add_mul_1,192x1x1,256x1x1,18.75,23.574125,0.0,94.2965,1.2572866666666667,1.248,1.344,1.472,18
Sparse MLA,sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel,1x1x132,384x1x1,2.0,22.243708333333334,22.133166666666668,22.485,11.121854166666667,11.136,11.296,11.456,0
Elementwise and metadata,at::native::unrolled_elementwise_kernel,1x1x1,128x1x1,19.0,22.179291666666668,21.8715,22.383,1.1673311403508773,1.12,1.44,1.696,0
DSA top-k,DCP stable top-k,1x1x1,512x1x1,2.0,22.006541666666667,21.877333333333336,22.079833333333337,11.003270833333334,10.976,12.8,13.247,0
Sparse MLA,smxx::decode::flash_fwd_mla_combine_kernel,1x1x8,256x1x1,2.0,21.578416666666666,19.546333333333333,22.623499999999996,10.789208333333333,11.263,11.424,11.616,1
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,256x1x1,128x1x1,14.5,20.760666666666665,0.0,81.76833333333333,1.4317701149425286,1.439,1.504,1.664,12
MTP FP8 block,tensorrt_llm::kernels::cutlass_kernels::finalizeMoeRoutingKernel,4x1x1,256x1x1,3.0,19.559541666666668,18.1435,21.7115,6.519847222222222,6.368,8.064,9.312,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,64x1x1,256x1x1,14.25,19.231416666666664,0.0,76.92566666666666,1.3495730994152046,1.344,1.44,1.632,6
Elementwise and metadata,triton_poi_fused_add_mul_1,384x1x1,128x1x1,14.75,19.034333333333333,0.0,71.90283333333333,1.2904632768361581,1.28,1.408,1.504,18
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,2x1x1,512x1x1,5.0,18.649125,0.0,74.5965,3.729825,3.744,3.903,4.064,0
Elementwise and metadata,triton_poi_fused_3,8x1x1,64x1x1,14.25,18.428875,0.0,73.7155,1.2932543859649124,1.28,1.344,1.664,0
Elementwise and metadata,triton_poi_fused_3,2x1x1,256x1x1,14.25,18.26625,0.0,73.065,1.281842105263158,1.28,1.344,1.44,0
Vocabulary all-gather,NCCL AllGather,24x1x1,512x1x1,1.0,17.660833333333333,15.732999999999999,19.657999999999998,17.660833333333333,17.632,24.095,24.415,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,4x1x1,512x1x1,5.0,14.574458333333332,0.0,58.29783333333333,2.9148916666666667,2.912,3.072,3.232,1
MTP FP8 block,tensorrt_llm::kernels::cutlass_kernels::fusedBuildExpertMapsSortFirstTokenKernel,1x1x1,32x1x1,3.0,13.603791666666666,12.896,14.554166666666667,4.534597222222222,4.639,4.992,5.696,0
Elementwise and metadata,cublasLt::splitKreduce_kernel,5x1x1,32x16x1,7.5,11.901333333333334,4.661333333333333,33.461333333333336,1.5868444444444445,1.568,1.664,1.824,1
Elementwise and metadata,triton_red_fused_add_fused_add_rms_norm_rms_norm_2,1x1x1,128x1x1,0.75,11.78775,0.0,47.151,15.717,15.84,16.639,17.376,0
Elementwise and metadata,at::native::index_elementwise_kernel,1x1x1,128x1x1,7.0,11.738416666666666,11.215166666666667,12.031833333333333,1.6769166666666666,1.664,1.856,2.112,0
